週,平均價,交易量
2023-02-20/2023-02-26,52.65,6688.17
2023-02-27/2023-03-05,55.63,5768.0
2023-03-06/2023-03-12,50.87,6957.83
2023-03-13/2023-03-19,45.6,5323.0
2023-03-20/2023-03-26,44.88,5842.17
2023-03-27/2023-04-02,51.87,5035.17
2023-04-03/2023-04-09,48.85,4364.33
2023-04-10/2023-04-16,50.95,6122.5
2023-04-17/2023-04-23,53.8,5228.52
2023-04-24/2023-04-30,61.83,2388.33
2023-05-01/2023-05-07,56.67,3320.67
2023-05-08/2023-05-14,41.55,8401.17
2023-05-15/2023-05-21,48.08,4993.33
2023-05-22/2023-05-28,48.53,4286.0
2023-05-29/2023-06-04,44.6,5014.33
2023-06-05/2023-06-11,44.02,4895.17
2023-06-12/2023-06-18,43.07,5730.5
2023-06-19/2023-06-25,35.02,6532.83
2023-06-26/2023-07-02,30.04,10900.4
2023-07-03/2023-07-09,29.58,9568.0
2023-07-10/2023-07-16,28.87,9900.33
2023-07-17/2023-07-23,41.33,3229.5
2023-07-24/2023-07-30,91.47,1463.0
2023-07-31/2023-08-06,104.75,2270.33
2023-08-07/2023-08-13,62.38,6148.0
2023-08-14/2023-08-20,46.15,8298.0
2023-08-21/2023-08-27,40.92,6941.67
2023-08-28/2023-09-03,42.9,7916.0
2023-09-04/2023-09-10,39.28,4764.17
2023-09-11/2023-09-17,63.98,3319.67
2023-09-18/2023-09-24,101.5,1109.33
2023-09-25/2023-10-01,87.1,1629.2
2023-10-02/2023-10-08,88.43,1006.0
2023-10-09/2023-10-15,91.68,4202.83
2023-10-16/2023-10-22,54.03,5899.83
2023-10-23/2023-10-29,45.65,7695.5
2023-10-30/2023-11-05,29.1,13938.17
2023-11-06/2023-11-12,20.28,16497.33
2023-11-13/2023-11-19,17.82,14483.67
2023-11-20/2023-11-26,27.18,10823.0
2023-11-27/2023-12-03,38.72,4748.17
2023-12-04/2023-12-10,42.62,4746.17
2023-12-11/2023-12-17,47.08,5800.67
2023-12-18/2023-12-24,50.32,6020.5
2023-12-25/2023-12-31,49.77,5360.83
2024-01-01/2024-01-07,61.45,4388.17
2024-01-08/2024-01-14,50.55,5779.67
2024-01-15/2024-01-21,36.88,9404.5
2024-01-22/2024-01-28,39.37,6305.0
2024-01-29/2024-02-04,41.73,5887.86
2024-02-05/2024-02-11,58.82,8230.2
2024-02-12/2024-02-18,50.43,6531.0
2024-02-19/2024-02-25,46.3,4961.5
2024-02-26/2024-03-03,53.22,5287.0
2024-03-04/2024-03-10,57.13,4919.83
2024-03-11/2024-03-17,72.23,3157.0
2024-03-18/2024-03-24,69.37,3118.5
2024-03-25/2024-03-31,63.38,4914.0
2024-04-01/2024-04-07,50.15,6283.5
2024-04-08/2024-04-14,47.97,5389.17
2024-04-15/2024-04-21,46.78,5270.33
2024-04-22/2024-04-28,50.07,4718.67
2024-04-29/2024-05-05,53.62,5282.33
2024-05-06/2024-05-12,57.95,3229.17
2024-05-13/2024-05-19,70.6,2586.33
2024-05-20/2024-05-26,55.58,2989.67
2024-05-27/2024-06-02,40.47,5239.67
2024-06-03/2024-06-09,34.45,8042.17
2024-06-10/2024-06-16,32.8,5185.6
2024-06-17/2024-06-23,30.38,7364.83
2024-06-24/2024-06-30,31.25,6657.67
2024-07-01/2024-07-07,32.12,6152.17
2024-07-08/2024-07-14,43.93,4014.83
2024-07-15/2024-07-21,50.33,4043.83
2024-07-22/2024-07-28,52.62,5836.8
2024-07-29/2024-08-04,59.75,5647.83
2024-08-05/2024-08-11,65.33,4573.0
2024-08-12/2024-08-18,63.07,6334.33
2024-08-19/2024-08-25,50.28,9880.6
2024-08-26/2024-09-01,30.65,17174.5
2024-09-02/2024-09-08,28.32,13671.0
2024-09-09/2024-09-15,27.25,14307.0
2024-09-16/2024-09-22,28.62,10961.2
2024-09-23/2024-09-29,47.57,5999.33
2024-09-30/2024-10-06,72.8,3950.5
2024-10-07/2024-10-13,69.38,2278.83
2024-10-14/2024-10-20,90.23,2110.0
2024-10-21/2024-10-27,85.06,5157.2
2024-10-28/2024-11-03,60.13,5501.17
2024-11-04/2024-11-10,78.23,8367.17
2024-11-11/2024-11-17,47.13,14259.17
2024-11-18/2024-11-24,45.3,16734.0
2024-11-25/2024-12-01,40.7,17676.0
