station_id,station_name,date,rain_amount(mm)
466880,板橋,2022-08-10,1.0
466880,板橋,2022-08-11,1.0
466880,板橋,2022-08-12,1.5
466880,板橋,2022-08-13,0.0
466880,板橋,2022-08-14,0.0
466880,板橋,2022-08-15,6.0
466880,板橋,2022-08-16,T
466880,板橋,2022-08-17,T
466880,板橋,2022-08-18,0.0
466880,板橋,2022-08-19,0.5
466880,板橋,2022-08-20,T
466880,板橋,2022-08-21,0.0
466880,板橋,2022-08-22,0.0
466880,板橋,2022-08-23,0.0
466880,板橋,2022-08-24,20.5
466880,板橋,2022-08-25,11.5
466880,板橋,2022-08-26,0.0
466880,板橋,2022-08-27,0.0
466880,板橋,2022-08-28,T
466880,板橋,2022-08-29,0.0
466880,板橋,2022-08-30,T
466880,板橋,2022-08-31,0.5
466880,板橋,2022-09-01,3.5
466880,板橋,2022-09-02,38.0
466880,板橋,2022-09-03,37.0
466880,板橋,2022-09-04,33.0
466880,板橋,2022-09-05,0.5
466880,板橋,2022-09-06,2.5
466880,板橋,2022-09-07,T
466880,板橋,2022-09-08,0.0
466880,板橋,2022-09-09,0.0
466880,板橋,2022-09-10,0.0
466880,板橋,2022-09-11,27.5
466880,板橋,2022-09-12,42.0
466880,板橋,2022-09-13,37.5
466880,板橋,2022-09-14,13.5
466880,板橋,2022-09-15,11.5
466880,板橋,2022-09-16,0.0
466880,板橋,2022-09-17,0.0
466880,板橋,2022-09-18,0.0
466880,板橋,2022-09-19,0.0
466880,板橋,2022-09-20,0.0
466880,板橋,2022-09-21,0.0
466880,板橋,2022-09-22,0.0
466880,板橋,2022-09-23,0.0
466880,板橋,2022-09-24,T
466880,板橋,2022-09-25,2.5
466880,板橋,2022-09-26,0.5
466880,板橋,2022-09-27,0.0
466880,板橋,2022-09-28,0.0
466880,板橋,2022-09-29,0.0
466880,板橋,2022-09-30,0.0
466880,板橋,2022-10-01,0.0
466880,板橋,2022-10-02,0.0
466880,板橋,2022-10-03,0.0
466880,板橋,2022-10-04,0.0
466880,板橋,2022-10-05,13.0
466880,板橋,2022-10-06,1.5
466880,板橋,2022-10-07,7.5
466880,板橋,2022-10-08,0.5
466880,板橋,2022-10-09,2.5
466880,板橋,2022-10-10,2.5
466880,板橋,2022-10-11,0.0
466880,板橋,2022-10-12,0.5
466880,板橋,2022-10-13,0.5
466880,板橋,2022-10-14,12.0
466880,板橋,2022-10-15,32.0
466880,板橋,2022-10-16,214.5
466880,板橋,2022-10-17,2.5
466880,板橋,2022-10-18,1.0
466880,板橋,2022-10-19,0.0
466880,板橋,2022-10-20,0.0
466880,板橋,2022-10-21,0.5
466880,板橋,2022-10-22,21.0
466880,板橋,2022-10-23,7.0
466880,板橋,2022-10-24,0.0
466880,板橋,2022-10-25,0.0
466880,板橋,2022-10-26,0.0
466880,板橋,2022-10-27,0.0
466880,板橋,2022-10-28,2.5
466880,板橋,2022-10-29,T
466880,板橋,2022-10-30,22.5
466880,板橋,2022-10-31,49.0
466880,板橋,2022-11-01,18.0
466880,板橋,2022-11-02,T
466880,板橋,2022-11-03,0.0
466880,板橋,2022-11-04,0.0
466880,板橋,2022-11-05,0.0
466880,板橋,2022-11-06,T
466880,板橋,2022-11-07,T
466880,板橋,2022-11-08,1.0
466880,板橋,2022-11-09,0.0
466880,板橋,2022-11-10,0.0
466880,板橋,2022-11-11,0.0
466880,板橋,2022-11-12,0.0
466880,板橋,2022-11-13,0.0
466880,板橋,2022-11-14,0.0
466880,板橋,2022-11-15,0.0
466880,板橋,2022-11-16,T
466880,板橋,2022-11-17,0.0
466880,板橋,2022-11-18,0.0
466880,板橋,2022-11-19,0.0
466880,板橋,2022-11-20,0.0
466880,板橋,2022-11-21,0.0
466880,板橋,2022-11-22,0.0
466880,板橋,2022-11-23,13.0
466880,板橋,2022-11-24,84.0
466880,板橋,2022-11-25,31.0
466880,板橋,2022-11-26,0.5
466880,板橋,2022-11-27,0.0
466880,板橋,2022-11-28,0.0
466880,板橋,2022-11-29,0.0
466880,板橋,2022-11-30,0.0
466880,板橋,2022-12-01,2.0
466880,板橋,2022-12-02,1.0
466880,板橋,2022-12-03,1.5
466880,板橋,2022-12-04,T
466880,板橋,2022-12-05,1.5
466880,板橋,2022-12-06,0.5
466880,板橋,2022-12-07,2.5
466880,板橋,2022-12-08,5.0
466880,板橋,2022-12-09,9.0
466880,板橋,2022-12-10,9.0
466880,板橋,2022-12-11,14.5
466880,板橋,2022-12-12,2.5
466880,板橋,2022-12-13,8.5
466880,板橋,2022-12-14,2.0
466880,板橋,2022-12-15,18.0
466880,板橋,2022-12-16,10.0
466880,板橋,2022-12-17,24.5
466880,板橋,2022-12-18,0.0
466880,板橋,2022-12-19,0.0
466880,板橋,2022-12-20,0.0
466880,板橋,2022-12-21,T
466880,板橋,2022-12-22,0.0
466880,板橋,2022-12-23,0.0
466880,板橋,2022-12-24,0.0
466880,板橋,2022-12-25,0.0
466880,板橋,2022-12-26,0.0
466880,板橋,2022-12-27,0.0
466880,板橋,2022-12-28,0.0
466880,板橋,2022-12-29,4.0
466880,板橋,2022-12-30,T
466880,板橋,2022-12-31,T
466900,淡水,2022-01-01,T
466900,淡水,2022-01-02,T
466900,淡水,2022-01-03,0.0
466900,淡水,2022-01-04,0.0
466900,淡水,2022-01-05,0.5
466900,淡水,2022-01-06,10.5
466900,淡水,2022-01-07,1.0
466900,淡水,2022-01-08,T
466900,淡水,2022-01-09,T
466900,淡水,2022-01-10,T
466900,淡水,2022-01-11,6.0
466900,淡水,2022-01-12,T
466900,淡水,2022-01-13,0.5
466900,淡水,2022-01-14,0.0
466900,淡水,2022-01-15,T
466900,淡水,2022-01-16,0.0
466900,淡水,2022-01-17,2.5
466900,淡水,2022-01-18,0.5
466900,淡水,2022-01-19,T
466900,淡水,2022-01-20,T
466900,淡水,2022-01-21,28.5
466900,淡水,2022-01-22,33.0
466900,淡水,2022-01-23,T
466900,淡水,2022-01-24,T
466900,淡水,2022-01-25,T
466900,淡水,2022-01-26,0.0
466900,淡水,2022-01-27,T
466900,淡水,2022-01-28,T
466900,淡水,2022-01-29,3.5
466900,淡水,2022-01-30,10.5
466900,淡水,2022-01-31,T
466900,淡水,2022-02-01,11.0
466900,淡水,2022-02-02,2.0
466900,淡水,2022-02-03,34.0
466900,淡水,2022-02-04,6.0
466900,淡水,2022-02-05,T
466900,淡水,2022-02-06,0.0
466900,淡水,2022-02-07,12.5
466900,淡水,2022-02-08,T
466900,淡水,2022-02-09,9.0
466900,淡水,2022-02-10,T
466900,淡水,2022-02-11,0.0
466900,淡水,2022-02-12,0.5
466900,淡水,2022-02-13,13.0
466900,淡水,2022-02-14,35.5
466900,淡水,2022-02-15,T
466900,淡水,2022-02-16,T
466900,淡水,2022-02-17,T
466900,淡水,2022-02-18,17.5
466900,淡水,2022-02-19,29.0
466900,淡水,2022-02-20,36.5
466900,淡水,2022-02-21,25.0
466900,淡水,2022-02-22,18.5
466900,淡水,2022-02-23,39.5
466900,淡水,2022-02-24,2.0
466900,淡水,2022-02-25,T
466900,淡水,2022-02-26,0.5
466900,淡水,2022-02-27,0.0
466900,淡水,2022-02-28,0.0
466900,淡水,2022-03-01,0.0
466900,淡水,2022-03-02,0.5
466900,淡水,2022-03-03,0.0
466900,淡水,2022-03-04,0.0
466900,淡水,2022-03-05,0.0
466900,淡水,2022-03-06,T
466900,淡水,2022-03-07,39.0
466900,淡水,2022-03-08,0.0
466900,淡水,2022-03-09,0.0
466900,淡水,2022-03-10,0.0
466900,淡水,2022-03-11,0.0
466900,淡水,2022-03-12,0.0
466900,淡水,2022-03-13,0.0
466900,淡水,2022-03-14,0.0
466900,淡水,2022-03-15,0.0
466900,淡水,2022-03-16,0.0
466900,淡水,2022-03-17,5.0
466900,淡水,2022-03-18,T
466900,淡水,2022-03-19,0.0
466900,淡水,2022-03-20,0.0
466900,淡水,2022-03-21,2.0
466900,淡水,2022-03-22,7.0
466900,淡水,2022-03-23,25.0
466900,淡水,2022-03-24,T
466900,淡水,2022-03-25,1.5
466900,淡水,2022-03-26,19.5
466900,淡水,2022-03-27,32.0
466900,淡水,2022-03-28,39.0
466900,淡水,2022-03-29,7.5
466900,淡水,2022-03-30,T
466900,淡水,2022-03-31,0.5
466900,淡水,2022-04-01,1.5
466900,淡水,2022-04-02,36.0
466900,淡水,2022-04-03,8.0
466900,淡水,2022-04-04,0.0
466900,淡水,2022-04-05,0.0
466900,淡水,2022-04-06,0.0
466900,淡水,2022-04-07,T
466900,淡水,2022-04-08,T
466900,淡水,2022-04-09,T
466900,淡水,2022-04-10,0.0
466900,淡水,2022-04-11,T
466900,淡水,2022-04-12,0.0
466900,淡水,2022-04-13,0.0
466900,淡水,2022-04-14,6.5
466900,淡水,2022-04-15,12.0
466900,淡水,2022-04-16,T
466900,淡水,2022-04-17,T
466900,淡水,2022-04-18,T
466900,淡水,2022-04-19,5.0
466900,淡水,2022-04-20,6.0
466900,淡水,2022-04-21,T
466900,淡水,2022-04-22,0.0
466900,淡水,2022-04-23,T
466900,淡水,2022-04-24,0.0
466900,淡水,2022-04-25,T
466900,淡水,2022-04-26,0.0
466900,淡水,2022-04-27,0.0
466900,淡水,2022-04-28,T
466900,淡水,2022-04-29,T
466900,淡水,2022-04-30,T
466900,淡水,2022-05-01,8.5
466900,淡水,2022-05-02,10.0
466900,淡水,2022-05-03,T
466900,淡水,2022-05-04,T
466900,淡水,2022-05-05,0.0
466900,淡水,2022-05-06,T
466900,淡水,2022-05-07,0.0
466900,淡水,2022-05-08,T
466900,淡水,2022-05-09,T
466900,淡水,2022-05-10,0.5
466900,淡水,2022-05-11,12.0
466900,淡水,2022-05-12,7.5
466900,淡水,2022-05-13,2.0
466900,淡水,2022-05-14,18.0
466900,淡水,2022-05-15,4.5
466900,淡水,2022-05-16,27.0
466900,淡水,2022-05-17,3.5
466900,淡水,2022-05-18,0.0
466900,淡水,2022-05-19,T
466900,淡水,2022-05-20,0.0
466900,淡水,2022-05-21,1.0
466900,淡水,2022-05-22,1.0
466900,淡水,2022-05-23,0.5
466900,淡水,2022-05-24,54.5
466900,淡水,2022-05-25,188.5
466900,淡水,2022-05-26,70.5
466900,淡水,2022-05-27,56.0
466900,淡水,2022-05-28,0.5
466900,淡水,2022-05-29,0.0
466900,淡水,2022-05-30,1.5
466900,淡水,2022-05-31,5.0
466900,淡水,2022-06-01,T
466900,淡水,2022-06-02,0.0
466900,淡水,2022-06-03,T
466900,淡水,2022-06-04,0.0
466900,淡水,2022-06-05,0.0
466900,淡水,2022-06-06,26.5
466900,淡水,2022-06-07,49.0
466900,淡水,2022-06-08,60.5
466900,淡水,2022-06-09,18.5
466900,淡水,2022-06-10,1.5
466900,淡水,2022-06-11,T
466900,淡水,2022-06-12,20.5
466900,淡水,2022-06-13,0.0
466900,淡水,2022-06-14,T
466900,淡水,2022-06-15,11.5
466900,淡水,2022-06-16,5.0
466900,淡水,2022-06-17,T
466900,淡水,2022-06-18,0.0
466900,淡水,2022-06-19,0.0
466900,淡水,2022-06-20,0.0
466900,淡水,2022-06-21,0.0
